year,CO2
1958,315.29200000000003
1959,315.9775
1960,316.90749999999997
1961,317.6408333333333
1962,318.4483333333333
1963,318.9866666666667
1964,319.61083333333335
1965,320.02916666666664
1966,321.3625
1967,322.175
1968,323.0475
1969,324.6166666666667
1970,325.6766666666667
1971,326.315
1972,327.45416666666665
1973,329.67249999999996
1974,330.2075
1975,331.13
1976,332.02916666666664
1977,333.8433333333333
1978,335.4141666666667
1979,336.8358333333333
1980,338.765
1981,340.12
1982,341.47749999999996
1983,343.15166666666664
1984,344.86833333333334
1985,346.34999999999997
1986,347.6066666666666
1987,349.3141666666666
1988,351.69083333333333
1989,353.205
1990,354.45166666666665
1991,355.70250000000004
1992,356.54583333333335
1993,357.21416666666664
1994,358.9591666666667
1995,360.9666666666667
1996,362.7425
1997,363.8766666666666
1998,366.83916666666664
1999,368.53999999999996
2000,369.7075
2001,371.3183333333333
2002,373.45250000000004
2003,375.98333333333335
2004,377.6975
2005,379.9825
2006,382.08916666666664
2007,384.02416666666664
2008,385.83
2009,387.6425
2010,390.1016666666667
2011,391.85083333333336
2012,394.055
2013,396.7366666666667
2014,398.81333333333333
2015,401.0125
2016,404.41333333333336
2017,406.75916666666666
2018,408.715
2019,411.655
2020,414.2366666666667
2021,416.4491666666667
2022,418.56749999999994
2023,420.08666666666664
