year,CO2,pop,forest_area_%
1950,,2499322.0,
1951,,2543130.0,
1952,,2590271.0,
1953,,2640279.0,
1954,,2691979.0,
1955,,2746072.0,
1956,,2801003.0,
1957,,2857867.0,
1958,315.29200000000003,2916108.0,
1959,315.9775,2970292.0,
1960,316.9075,3019233.0,
1961,317.6408333333333,3068371.0,
1962,318.4483333333333,3126687.0,
1963,318.9866666666667,3195779.0,
1964,319.61083333333335,3267212.0,
1965,320.02916666666664,3337112.0,
1966,321.3625,3406417.0,
1967,322.175,3475448.0,
1968,323.0475,3546811.0,
1969,324.6166666666667,3620655.0,
1970,325.6766666666667,3695390.0,
1971,326.315,3770163.0,
1972,327.45416666666665,3844801.0,
1973,329.6725,3920252.0,
1974,330.2075,3995517.0,
1975,331.13,4069437.0,
1976,332.02916666666664,4142506.0,
1977,333.8433333333333,4215772.0,
1978,335.4141666666667,4289658.0,
1979,336.8358333333333,4365583.0,
1980,338.765,4444008.0,
1981,340.12,4524628.0,
1982,341.4775,4607985.0,
1983,343.15166666666664,4691884.0,
1984,344.86833333333334,4775836.0,
1985,346.35,4861731.0,
1986,347.6066666666666,4950063.0,
1987,349.3141666666666,5040984.0,
1988,351.69083333333333,5132294.0,
1989,353.205,5223704.0,
1990,354.45166666666665,5316176.0,32.51862542833661
1991,355.70250000000004,5406246.0,32.458458380452726
1992,356.5458333333333,5492686.0,32.39829133256884
1993,357.21416666666664,5577434.0,32.33812428468495
1994,358.9591666666667,5660728.0,32.277957236801065
1995,360.9666666666667,5743219.0,32.21779018891718
1996,362.7425,5825145.0,32.15762314103329
1997,363.8766666666666,5906481.0,32.097456093149404
1998,366.8391666666666,5987312.0,32.03728904526552
1999,368.54,6067758.0,31.97712199738163
2000,369.7075,6148899.0,31.916954949497743
2001,371.3183333333333,6230747.0,31.877245215253048
2002,373.4525,6312407.0,31.837535404248907
2003,375.98333333333335,6393898.0,31.797825593244767
2004,377.6975,6475751.0,31.75811578224062
2005,379.9825,6558176.0,31.718406047995927
2006,382.0891666666666,6641416.0,31.678696236991787
2007,384.0241666666666,6725949.0,31.63898642598765
2008,385.83,6811597.0,31.59927669174295
2009,387.6425,6898306.0,31.55956688073881
2010,390.1016666666667,6985603.0,31.51985706973467
2011,391.85083333333336,7073125.0,31.48542047919484
2012,394.055,7161698.0,31.450956332013675
2013,396.7366666666667,7250593.0,31.41649210807305
2014,398.8133333333333,7339013.0,31.382027960891897
2015,401.0125,7426598.0,31.347563813710728
2016,404.41333333333336,7513474.0,31.30928126785715
2017,406.75916666666666,7599822.0,31.270998798763017
2018,408.715,7683790.0,31.23271632966889
2019,411.655,7764951.0,31.19443378381532
2020,414.2366666666667,7840953.0,31.15615131472117
