site_code year month day hour minute second datetime time_decimal air_sample_container_id value value_unc latitude longitude altitude elevation intake_height method event_number instrument analysis_datetime qcflag
BWD 2018 9 25 19 0 0 2018-09-25T19:00:00Z 2018.7336757990868 3030-01 470.4 -999.999 39.3444 -76.6861 189.89 16.8 173.09 I 451907 L8 2018-11-28T03:22:00 N..
BWD 2018 9 29 19 0 0 2018-09-29T19:00:00Z 2018.7446347031964 3030-03 382.69 -999.999 39.3444 -76.6861 189.89 16.8 173.09 I 451909 L8 2018-11-28T03:37:00 N..
BWD 2018 10 3 19 0 0 2018-10-03T19:00:00Z 2018.7555936073059 3030-05 376.08 -999.999 39.3444 -76.6861 189.89 16.8 173.09 I 451911 L8 2018-11-28T03:53:00 N..
BWD 2018 10 7 19 0 0 2018-10-07T19:00:00Z 2018.7665525114155 3030-07 376.72 -999.999 39.3444 -76.6861 189.89 16.8 173.09 I 451913 L8 2018-11-28T04:09:00 N..
BWD 2018 10 11 19 0 0 2018-10-11T19:00:00Z 2018.7775114155252 3030-09 385.55 -999.999 39.3444 -76.6861 189.89 16.8 173.09 I 451915 L8 2018-11-28T04:25:00 N..
BWD 2018 10 15 19 0 0 2018-10-15T19:00:00Z 2018.7884703196346 3030-11 386.85 -999.999 39.3444 -76.6861 189.89 16.8 173.09 I 451917 L8 2018-11-28T04:41:00 N..
BWD 2018 12 21 19 0 0 2018-12-21T19:00:00Z 2018.9720319634703 3502-07 413.47 -999.999 38.9343 -76.9555 68.6 16.8 51.8 I 455395 L8 2019-03-06T20:33:00 L..
BWD 2018 12 22 19 0 0 2018-12-22T19:00:00Z 2018.9747716894976 3502-01 425.08 -999.999 38.9343 -76.9555 68.6 16.8 51.8 I 455389 L8 2019-03-06T19:45:00 L..
BWD 2018 12 23 19 0 0 2018-12-23T19:00:00Z 2018.9775114155252 3502-09 430.27 -999.999 38.9343 -76.9555 68.6 16.8 51.8 I 455397 L8 2019-03-06T20:49:00 L..
BWD 2018 12 24 19 0 0 2018-12-24T19:00:00Z 2018.9802511415526 3502-11 416.68 -999.999 38.9343 -76.9555 68.6 16.8 51.8 I 455399 L8 2019-03-06T21:04:00 L..
BWD 2018 12 26 19 0 0 2018-12-26T19:00:00Z 2018.9857305936073 3502-03 428.07 -999.999 38.9343 -76.9555 68.6 16.8 51.8 I 455391 L8 2019-03-06T20:01:00 L..
BWD 2018 12 30 19 0 0 2018-12-30T19:00:00Z 2018.996689497717 3502-05 438.79 -999.999 38.9343 -76.9555 68.6 16.8 51.8 I 455393 L8 2019-03-06T20:17:00 L..
BWD 2019 3 20 19 0 0 2019-03-20T19:00:00Z 2019.2158675799087 3014-07 421.65 -999.999 38.9343 -76.9555 67.97 16.8 51.17 I 457603 L8 2019-04-30T16:34:00 ...
BWD 2019 3 24 19 0 0 2019-03-24T19:00:00Z 2019.2268264840184 3014-09 419.84 -999.999 38.9343 -76.9555 67.97 16.8 51.17 I 457605 L8 2019-04-30T16:49:00 ...
BWD 2019 3 25 19 0 0 2019-03-25T19:00:00Z 2019.2295662100457 3014-01 427.11 -999.999 38.9343 -76.9555 67.97 16.8 51.17 I 457597 L8 2019-04-30T15:46:00 ...
BWD 2019 3 26 19 0 0 2019-03-26T19:00:00Z 2019.232305936073 3014-03 418.64 -999.999 38.9343 -76.9555 67.97 16.8 51.17 I 457599 L8 2019-04-30T16:02:00 ...
BWD 2019 3 27 19 0 0 2019-03-27T19:00:00Z 2019.2350456621004 3014-05 421.41 -999.999 38.9343 -76.9555 67.97 16.8 51.17 I 457601 L8 2019-04-30T16:18:00 ...
BWD 2019 3 28 19 0 0 2019-03-28T19:00:00Z 2019.2377853881278 3014-11 419.11 -999.999 38.9343 -76.9555 67.97 16.8 51.17 I 457607 L8 2019-04-30T17:05:00 ...
BWD 2019 7 2 19 0 0 2019-07-02T19:00:00Z 2019.500799086758 3102-01 406.86 -999.999 38.9343 -76.9555 67.97 16.8 51.17 I 463000 L8 2019-08-05T22:15:00 H..
BWD 2019 7 6 19 0 0 2019-07-06T19:00:00Z 2019.5117579908676 3102-03 418.43 -999.999 38.9343 -76.9555 67.97 16.8 51.17 I 463002 L8 2019-08-05T22:31:00 H..
BWD 2019 7 10 19 0 0 2019-07-10T19:00:00Z 2019.522716894977 3102-05 401.3 -999.999 38.9343 -76.9555 67.97 16.8 51.17 I 463004 L8 2019-08-05T22:47:00 H..
BWD 2019 7 14 19 0 0 2019-07-14T19:00:00Z 2019.5336757990867 3102-07 395.19 -999.999 38.9343 -76.9555 67.97 16.8 51.17 I 463006 L8 2019-08-05T23:03:00 H..
