site_code year month day hour minute second datetime time_decimal air_sample_container_id value latitude longitude altitude elevation intake_height method event_number instrument analysis_datetime qcflag
HFM 2016 3 2 16 59 10 2016-03-02T16:59:10Z 2016.1686004224853 3058-01 411.56 42.5378 -72.1714 369.0 340.0 29.0 R 404759 L8 2016-04-07T03:00:00 ...
HFM 2016 3 3 15 0 57 2016-03-03T15:00:57Z 2016.1711083598968 3058-03 409.46 42.5378 -72.1714 369.0 340.0 29.0 R 404761 L8 2016-04-07T03:16:00 ...
HFM 2016 3 17 17 5 2 2016-03-17T17:05:02Z 2016.2095951603926 3058-05 411.98 42.5378 -72.1714 369.0 340.0 29.0 R 404763 L8 2016-04-07T03:31:00 ...
HFM 2016 3 18 15 2 10 2016-03-18T15:02:10Z 2016.2120942749443 3058-07 414.01 42.5378 -72.1714 369.0 340.0 29.0 R 404765 L8 2016-04-07T03:47:00 ...
HFM 2016 3 18 17 32 43 2016-03-18T17:32:43Z 2016.2123799268873 3058-09 414.24 42.5378 -72.1714 369.0 340.0 29.0 R 404767 L8 2016-04-07T04:03:00 ...
HFM 2016 3 22 15 32 58 2016-03-22T15:32:58Z 2016.2230816762801 3058-11 410.42 42.5378 -72.1714 369.0 340.0 29.0 R 404769 L8 2016-04-07T04:19:00 ...
HFM 2016 7 21 16 16 20 2016-07-21T16:16:20Z 2016.553765052621 3747-01 387.79 42.5378 -72.1714 369.0 340.0 29.0 R 412101 L8 2016-08-12T06:30:00 ...
HFM 2016 7 23 16 3 34 2016-07-23T16:03:34Z 2016.55920531016 3747-03 396.15 42.5378 -72.1714 369.0 340.0 29.0 R 412103 L8 2016-08-12T06:46:00 C..
HFM 2016 7 26 15 1 2 2016-07-26T15:01:02Z 2016.5672833814006 3747-05 396.19 42.5378 -72.1714 369.0 340.0 29.0 R 412105 L8 2016-08-12T07:01:00 C..
HFM 2016 7 26 17 6 13 2016-07-26T17:06:13Z 2016.5675209029043 3747-07 396.06 42.5378 -72.1714 369.0 340.0 29.0 R 412107 L8 2016-08-12T07:17:00 C..
HFM 2016 7 28 15 5 20 2016-07-28T15:05:20Z 2016.5727560210485 3747-09 389.91 42.5378 -72.1714 369.0 340.0 29.0 R 412109 L8 2016-08-12T07:33:00 C..
HFM 2016 8 7 16 13 13 2016-08-07T16:13:13Z 2016.600207226523 3747-11 390.09 42.5378 -72.1714 369.0 340.0 29.0 R 412111 L8 2016-08-12T07:49:00 ...
