site_code year month day hour minute second datetime time_decimal air_sample_container_id value latitude longitude altitude elevation intake_height method event_number instrument analysis_datetime qcflag
KLM 2006 2 22 20 21 0 2006-02-22T20:21:00Z 2006.1447888127855 3019-01 386.93 39.98 -105.26 1729.0 1725.0 4.0 A 213519 L3 2006-03-06T17:58:00 ...
KLM 2006 2 22 21 21 0 2006-02-22T21:21:00Z 2006.1449029680366 3019-02 386.84 39.98 -105.26 1729.0 1725.0 4.0 A 213520 L3 2006-03-06T18:13:00 ...
KLM 2006 2 22 22 21 0 2006-02-22T22:21:00Z 2006.1450171232877 3019-03 386.81 39.98 -105.26 1729.0 1725.0 4.0 A 213521 L3 2006-03-06T18:28:00 ...
KLM 2006 2 22 23 21 0 2006-02-22T23:21:00Z 2006.1451312785389 3019-04 386.67 39.98 -105.26 1729.0 1725.0 4.0 A 213522 L3 2006-03-06T18:43:00 ...
KLM 2006 2 23 8 6 0 2006-02-23T08:06:00Z 2006.1461301369864 3019-05 386.99 39.98 -105.26 1729.0 1725.0 4.0 A 213523 L3 2006-03-06T18:57:00 ...
KLM 2006 2 23 9 6 0 2006-02-23T09:06:00Z 2006.1462442922375 3019-06 387.06 39.98 -105.26 1729.0 1725.0 4.0 A 213524 L3 2006-03-06T19:12:00 ...
KLM 2006 2 23 10 6 0 2006-02-23T10:06:00Z 2006.1463584474886 3019-07 387.09 39.98 -105.26 1729.0 1725.0 4.0 A 213525 L3 2006-03-06T19:27:00 ...
KLM 2006 2 23 15 11 0 2006-02-23T15:11:00Z 2006.146938736682 3019-10 386.23 39.98 -105.26 1729.0 1725.0 4.0 A 213526 L3 2006-03-06T19:42:00 ...
KLM 2006 2 23 16 11 0 2006-02-23T16:11:00Z 2006.147052891933 3019-11 401.16 39.98 -105.26 1729.0 1725.0 4.0 A 213527 L3 2006-03-06T19:56:00 ...
KLM 2006 2 23 17 11 0 2006-02-23T17:11:00Z 2006.1471670471842 3019-12 385.9 39.98 -105.26 1729.0 1725.0 4.0 A 213528 L3 2006-03-06T20:11:00 ...
KLM 2006 3 21 20 5 57 2006-03-21T20:05:57Z 2006.218732781583 3019-01 429.31 39.99 -105.27 1729.0 1725.0 4.0 A 214212 L8 2006-03-22T12:22:00 ...
KLM 2006 3 21 21 5 57 2006-03-21T21:05:57Z 2006.218846936834 3019-02 424.37 39.99 -105.27 1729.0 1725.0 4.0 A 214213 L8 2006-03-22T12:37:00 ...
KLM 2006 3 21 22 5 56 2006-03-21T22:05:56Z 2006.2189610603755 3019-03 418.84 39.99 -105.27 1729.0 1725.0 4.0 A 214214 L8 2006-03-22T12:52:00 ...
KLM 2006 3 21 23 15 56 2006-03-21T23:15:56Z 2006.2190942415018 3019-04 405.84 39.99 -105.27 1729.0 1725.0 4.0 A 214215 L8 2006-03-22T13:07:00 ...
KLM 2006 3 22 2 15 56 2006-03-22T02:15:56Z 2006.2194367072552 3019-05 401.83 39.99 -105.27 1729.0 1725.0 4.0 A 214216 L8 2006-03-22T13:22:00 ...
KLM 2006 3 22 3 15 56 2006-03-22T03:15:56Z 2006.2195508625064 3019-06 400.34 39.99 -105.27 1729.0 1725.0 4.0 A 214217 L8 2006-03-22T13:37:00 ...
KLM 2006 3 22 4 15 57 2006-03-22T04:15:57Z 2006.2196650494673 3019-07 399.7 39.99 -105.27 1729.0 1725.0 4.0 A 214218 L8 2006-03-22T13:53:00 ...
KLM 2006 3 22 5 20 56 2006-03-22T05:20:56Z 2006.2197886859462 3019-08 403.85 39.99 -105.27 1729.0 1725.0 4.0 A 214219 L8 2006-03-22T14:08:00 ...
KLM 2006 3 22 6 20 57 2006-03-22T06:20:57Z 2006.2199028729071 3019-09 404.49 39.99 -105.27 1729.0 1725.0 4.0 A 214220 L8 2006-03-22T14:23:00 ...
KLM 2006 3 22 8 20 57 2006-03-22T08:20:57Z 2006.2201311834094 3019-10 404.13 39.99 -105.27 1729.0 1725.0 4.0 A 214221 L8 2006-03-22T14:38:00 ...
KLM 2006 3 22 9 25 55 2006-03-22T09:25:55Z 2006.2202547881786 3019-11 404.19 39.99 -105.27 1729.0 1725.0 4.0 A 214222 L8 2006-03-22T14:53:00 ...
KLM 2006 3 22 10 26 0 2006-03-22T10:26:00Z 2006.2203691019788 3019-12 407.05 39.99 -105.27 1729.0 1725.0 4.0 A 214223 L8 2006-03-22T15:08:00 ...
KLM 2006 6 15 1 6 16 2006-06-15T01:06:16Z 2006.4521808726536 3019-01 384.66 39.99 -105.27 1729.0 1725.0 4.0 A 218434 L3 2006-06-16T20:15:00 ...
KLM 2006 6 15 2 6 16 2006-06-15T02:06:16Z 2006.4522950279047 3019-02 384.9 39.99 -105.27 1729.0 1725.0 4.0 A 218435 L3 2006-06-16T20:30:00 ...
KLM 2006 6 15 3 6 16 2006-06-15T03:06:16Z 2006.4524091831559 3019-03 385.94 39.99 -105.27 1729.0 1725.0 4.0 A 218436 L3 2006-06-16T20:45:00 ...
KLM 2006 6 15 4 6 16 2006-06-15T04:06:16Z 2006.452523338407 3019-04 386.52 39.99 -105.27 1729.0 1725.0 4.0 A 218437 L3 2006-06-16T21:00:00 ...
KLM 2006 6 15 5 11 15 2006-06-15T05:11:15Z 2006.4526469748857 3019-05 387.02 39.99 -105.27 1729.0 1725.0 4.0 A 218438 L3 2006-06-16T21:15:00 ...
KLM 2006 6 15 7 11 15 2006-06-15T07:11:15Z 2006.452875285388 3019-06 388.0 39.99 -105.27 1729.0 1725.0 4.0 A 218439 L3 2006-06-16T21:29:00 ...
KLM 2006 6 15 8 11 18 2006-06-15T08:11:18Z 2006.4529895357687 3019-07 390.15 39.99 -105.27 1729.0 1725.0 4.0 A 218440 L3 2006-06-16T21:44:00 ...
KLM 2006 6 15 9 11 16 2006-06-15T09:11:16Z 2006.4531036276003 3019-08 388.17 39.99 -105.27 1729.0 1725.0 4.0 A 218441 L3 2006-06-16T21:59:00 ...
KLM 2006 6 15 10 21 16 2006-06-15T10:21:16Z 2006.4532368087266 3019-09 388.81 39.99 -105.27 1729.0 1725.0 4.0 A 218442 L3 2006-06-16T22:14:00 ...
KLM 2006 6 15 11 21 16 2006-06-15T11:21:16Z 2006.4533509639778 3019-10 390.48 39.99 -105.27 1729.0 1725.0 4.0 A 218443 L3 2006-06-16T22:29:00 ...
KLM 2006 6 15 13 21 16 2006-06-15T13:21:16Z 2006.45357927448 3019-11 388.14 39.99 -105.27 1729.0 1725.0 4.0 A 218444 L3 2006-06-16T22:43:00 ...
KLM 2006 6 15 14 21 17 2006-06-15T14:21:17Z 2006.453693461441 3019-12 394.19 39.99 -105.27 1729.0 1725.0 4.0 A 218445 L3 2006-06-16T22:58:00 ...
