site_code year month day hour minute second datetime time_decimal air_sample_container_id value value_unc latitude longitude altitude elevation intake_height method event_number instrument analysis_datetime qcflag
MLO 2021 7 2 15 21 59 2021-07-02T15:21:59Z 2021.5003842909691 3010-01 417.8 0.041 19.5362 -155.5763 3433.6 3397.0 36.6 R 491715 PC2 2021-07-23T11:36:24 ...
MLO 2021 7 2 15 21 59 2021-07-02T15:21:59Z 2021.5003842909691 3010-02 417.76 0.041 19.5362 -155.5763 3433.6 3397.0 36.6 R 491716 PC2 2021-07-23T11:52:18 ...
MLO 2021 7 4 15 22 1 2021-07-04T15:22:01Z 2021.5058638064434 3010-03 416.95 0.041 19.5362 -155.5763 3433.6 3397.0 36.6 R 491717 PC2 2021-07-23T12:08:14 ...
MLO 2021 7 4 15 22 1 2021-07-04T15:22:01Z 2021.5058638064434 3010-04 416.98 0.041 19.5362 -155.5763 3433.6 3397.0 36.6 R 491718 PC2 2021-07-23T12:24:12 ...
MLO 2021 7 6 15 22 19 2021-07-06T15:22:19Z 2021.5113438292744 3010-05 417.67 0.041 19.5362 -155.5763 3433.6 3397.0 36.6 R 491719 PC2 2021-07-23T12:40:12 ...
MLO 2021 7 6 15 22 19 2021-07-06T15:22:19Z 2021.5113438292744 3010-06 417.67 0.041 19.5362 -155.5763 3433.6 3397.0 36.6 R 491720 PC2 2021-07-23T12:56:08 ...
MLO 2021 7 8 15 22 9 2021-07-08T15:22:09Z 2021.5168229642313 3010-07 417.77 0.041 19.5362 -155.5763 3433.6 3397.0 36.6 R 491721 PC2 2021-07-23T13:12:04 ...
MLO 2021 7 8 15 22 9 2021-07-08T15:22:09Z 2021.5168229642313 3010-08 417.78 0.041 19.5362 -155.5763 3433.6 3397.0 36.6 R 491722 PC2 2021-07-23T13:28:03 ...
MLO 2021 7 10 15 22 9 2021-07-10T15:22:09Z 2021.522302416286 3010-09 416.75 0.041 19.5362 -155.5763 3433.6 3397.0 36.6 R 491723 PC2 2021-07-23T13:44:01 ...
MLO 2021 7 10 15 22 9 2021-07-10T15:22:09Z 2021.522302416286 3010-10 416.77 0.041 19.5362 -155.5763 3433.6 3397.0 36.6 R 491724 PC2 2021-07-23T13:59:58 ...
MLO 2021 7 12 15 22 24 2021-07-12T15:22:24Z 2021.5277823439878 3010-11 416.51 0.041 19.5362 -155.5763 3433.6 3397.0 36.6 R 491725 PC2 2021-07-23T14:15:55 ...
MLO 2021 7 12 15 22 24 2021-07-12T15:22:24Z 2021.5277823439878 3010-12 416.47 0.041 19.5362 -155.5763 3433.6 3397.0 36.6 R 491726 PC2 2021-07-23T14:31:54 ...
