site_code year month day hour minute second datetime time_decimal air_sample_container_id value value_unc latitude longitude altitude elevation intake_height method event_number instrument analysis_datetime qcflag
NEB 2018 4 4 19 0 0 2018-04-04T19:00:00Z 2018.2569634703195 3116-01 420.98 -999.999 39.3154 -76.583 110.95 44.0 66.95 I 444049 L8 2018-05-25T06:39:00 ...
NEB 2018 4 5 19 0 0 2018-04-05T19:00:00Z 2018.2597031963471 3116-03 418.37 -999.999 39.3154 -76.583 110.95 44.0 66.95 I 444051 L8 2018-05-25T06:55:00 ...
NEB 2018 4 6 19 0 0 2018-04-06T19:00:00Z 2018.2624429223745 3116-05 425.27 -999.999 39.3154 -76.583 110.95 44.0 66.95 I 444053 L8 2018-05-25T07:11:00 ...
NEB 2018 4 29 19 0 0 2018-04-29T19:00:00Z 2018.3254566210046 3116-07 417.64 -999.999 39.3154 -76.583 110.95 44.0 66.95 I 444055 L8 2018-05-25T07:27:00 ...
NEB 2018 5 3 19 0 0 2018-05-03T19:00:00Z 2018.3364155251143 3116-09 420.49 -999.999 39.3154 -76.583 110.95 44.0 66.95 I 444057 L8 2018-05-25T07:43:00 H..
NEB 2018 5 7 19 0 0 2018-05-07T19:00:00Z 2018.3473744292237 3116-11 419.25 -999.999 39.3154 -76.583 110.95 44.0 66.95 I 444059 L8 2018-05-25T07:59:00 ...
NEB 2018 5 20 19 0 0 2018-05-20T19:00:00Z 2018.38299086758 3503-03 415.37 -999.999 39.3154 -76.583 110.95 44.0 66.95 I 446081 L8 2018-07-10T01:26:00 H..
NEB 2018 5 23 19 0 0 2018-05-23T19:00:00Z 2018.391210045662 3503-09 414.36 -999.999 39.3154 -76.583 110.95 44.0 66.95 I 446087 L8 2018-07-10T02:14:00 H..
NEB 2018 5 25 19 0 0 2018-05-25T19:00:00Z 2018.3966894977168 3503-01 412.61 -999.999 39.3154 -76.583 110.95 44.0 66.95 I 446079 L8 2018-07-10T01:11:00 H..
NEB 2018 5 26 19 0 0 2018-05-26T19:00:00Z 2018.3994292237444 3503-05 415.68 -999.999 39.3154 -76.583 110.95 44.0 66.95 I 446083 L8 2018-07-10T01:42:00 H..
NEB 2018 6 1 19 0 0 2018-06-01T19:00:00Z 2018.4158675799088 3503-11 422.47 -999.999 39.3154 -76.583 110.95 44.0 66.95 I 446089 L8 2018-07-10T02:30:00 H..
NEB 2018 6 5 19 0 0 2018-06-05T19:00:00Z 2018.4268264840182 3503-07 404.0 -999.999 39.3154 -76.583 110.95 44.0 66.95 I 446085 L8 2018-07-10T01:58:00 ...
NEB 2018 7 6 19 0 0 2018-07-06T19:00:00Z 2018.5117579908676 3086-05 407.11 -999.999 39.3154 -76.583 110.95 44.0 66.95 I 447869 L8 2018-08-24T00:17:00 H..
NEB 2018 7 10 19 0 0 2018-07-10T19:00:00Z 2018.522716894977 3086-01 390.68 -999.999 39.3154 -76.583 110.95 44.0 66.95 I 447865 L8 2018-08-23T23:46:00 H..
NEB 2018 7 15 19 0 0 2018-07-15T19:00:00Z 2018.536415525114 3086-03 406.75 -999.999 39.3154 -76.583 110.95 44.0 66.95 I 447867 L8 2018-08-24T00:01:00 H..
NEB 2018 7 19 19 0 0 2018-07-19T19:00:00Z 2018.5473744292237 3086-07 401.94 -999.999 39.3154 -76.583 110.95 44.0 66.95 I 447871 L8 2018-08-24T00:33:00 ...
NEB 2018 7 20 19 0 0 2018-07-20T19:00:00Z 2018.550114155251 3086-09 397.84 -999.999 39.3154 -76.583 110.95 44.0 66.95 I 447873 L8 2018-08-24T00:49:00 H..
NEB 2018 7 21 19 0 0 2018-07-21T19:00:00Z 2018.5528538812785 3086-11 399.9 -999.999 39.3154 -76.583 110.95 44.0 66.95 I 447875 L8 2018-08-24T01:05:00 H..
NEB 2018 8 23 17 40 0 2018-08-23T17:40:00Z 2018.643112633181 3101-01 389.62 -999.999 39.3154 -76.583 110.95 44.0 66.95 I 449274 L8 2018-09-21T01:54:00 ...
NEB 2018 8 27 18 20 0 2018-08-27T18:20:00Z 2018.6541476407915 3101-03 404.95 -999.999 39.3154 -76.583 110.95 44.0 66.95 I 449276 L8 2018-09-21T02:10:00 H..
NEB 2018 8 31 19 0 0 2018-08-31T19:00:00Z 2018.665182648402 3101-05 408.04 -999.999 39.3154 -76.583 110.95 44.0 66.95 I 449278 L8 2018-09-21T02:26:00 H..
NEB 2018 9 4 19 40 0 2018-09-04T19:40:00Z 2018.676217656012 3101-07 415.03 -999.999 39.3154 -76.583 110.95 44.0 66.95 I 449280 L8 2018-09-21T02:41:00 H..
NEB 2018 9 8 20 20 0 2018-09-08T20:20:00Z 2018.6872526636225 3101-09 412.15 -999.999 39.3154 -76.583 110.95 44.0 66.95 I 449282 L8 2018-09-21T02:57:00 H..
NEB 2018 9 12 21 0 0 2018-09-12T21:00:00Z 2018.698287671233 3101-11 420.2 -999.999 39.3154 -76.583 110.95 44.0 66.95 I 449284 L8 2018-09-21T03:13:00 H..
NEB 2018 9 25 19 0 0 2018-09-25T19:00:00Z 2018.7336757990868 3067-01 414.4 -999.999 39.3154 -76.583 110.95 44.0 66.95 I 451895 L8 2018-11-28T04:57:00 H..
NEB 2018 9 29 19 0 0 2018-09-29T19:00:00Z 2018.7446347031964 3067-03 411.84 -999.999 39.3154 -76.583 110.95 44.0 66.95 I 451897 L8 2018-11-28T05:13:00 ...
NEB 2018 10 3 19 0 0 2018-10-03T19:00:00Z 2018.7555936073059 3067-05 417.78 -999.999 39.3154 -76.583 110.95 44.0 66.95 I 451899 L8 2018-11-28T05:29:00 H..
NEB 2018 10 7 19 0 0 2018-10-07T19:00:00Z 2018.7665525114155 3067-07 434.71 -999.999 39.3154 -76.583 110.95 44.0 66.95 I 451901 L8 2018-11-28T05:44:00 H..
NEB 2018 10 11 19 0 0 2018-10-11T19:00:00Z 2018.7775114155252 3067-09 420.09 -999.999 39.3154 -76.583 110.95 44.0 66.95 I 451903 L8 2018-11-28T06:00:00 H..
NEB 2018 10 15 19 0 0 2018-10-15T19:00:00Z 2018.7884703196346 3067-11 425.81 -999.999 39.3154 -76.583 110.95 44.0 66.95 I 451905 L8 2018-11-28T06:16:00 H..
NEB 2018 12 10 19 0 0 2018-12-10T19:00:00Z 2018.9418949771689 3034-01 423.1 -999.999 39.3154 -76.583 110.95 44.0 66.95 I 455425 L8 2019-03-07T00:47:00 ...
NEB 2018 12 14 19 0 0 2018-12-14T19:00:00Z 2018.9528538812785 3034-03 435.59 -999.999 39.3154 -76.583 110.95 44.0 66.95 I 455427 L8 2019-03-07T01:03:00 ...
NEB 2018 12 18 19 0 0 2018-12-18T19:00:00Z 2018.9638127853882 3034-05 415.5 -999.999 39.3154 -76.583 110.95 44.0 66.95 I 455429 L8 2019-03-07T01:18:00 ...
