site_code year month day hour minute second datetime time_decimal air_sample_container_id value latitude longitude altitude elevation intake_height method event_number instrument analysis_datetime qcflag
SPF 2013 12 4 9 10 0 2013-12-04T09:10:00Z 2013.9243340943683 3928-01 394.41 -75.1017 123.395 0.45 3233.0 -3232.55 A 362420 L8 2014-01-08T05:03:00 ...
SPF 2013 12 4 9 11 0 2013-12-04T09:11:00Z 2013.924335996956 3928-02 394.47 -75.1017 123.395 0.1 3233.0 -3232.9 A 362421 L8 2014-01-08T05:19:00 ...
SPF 2013 12 4 9 21 0 2013-12-04T09:21:00Z 2013.9243550228312 3928-03 394.52 -75.1017 123.395 -0.1 3233.0 -3233.1 A 362422 L8 2014-01-08T05:35:00 ...
SPF 2013 12 4 9 31 0 2013-12-04T09:31:00Z 2013.9243740487063 3928-04 394.53 -75.1017 123.395 -0.3 3233.0 -3233.3 A 362423 L8 2014-01-08T05:51:00 ...
SPF 2013 12 4 9 41 0 2013-12-04T09:41:00Z 2013.9243930745815 3928-05 394.6 -75.1017 123.395 -0.5 3233.0 -3233.5 A 362424 L8 2014-01-08T06:07:00 ...
SPF 2013 12 4 9 51 0 2013-12-04T09:51:00Z 2013.9244121004567 3928-06 496.3 -75.1017 123.395 -0.7 3233.0 -3233.7 A 362425 L8 2014-01-08T06:23:00 N..
SPF 2013 12 5 6 8 50 2013-12-05T06:08:50Z 2013.926729134957 3928-07 394.05 -75.1017 123.395 0.45 3233.0 -3232.55 A 362426 L8 2014-01-08T06:39:00 ...
SPF 2013 12 5 6 18 50 2013-12-05T06:18:50Z 2013.9267481608322 3928-08 393.96 -75.1017 123.395 0.1 3233.0 -3232.9 A 362427 L8 2014-01-08T06:55:00 ...
SPF 2013 12 5 6 28 51 2013-12-05T06:28:51Z 2013.9267672184171 3928-09 394.35 -75.1017 123.395 -0.1 3233.0 -3233.1 A 362428 L8 2014-01-08T07:11:00 ...
SPF 2013 12 5 6 38 54 2013-12-05T06:38:54Z 2013.9267863394216 3928-10 394.37 -75.1017 123.395 -0.3 3233.0 -3233.3 A 362429 L8 2014-01-08T07:27:00 ...
SPF 2013 12 5 6 48 52 2013-12-05T06:48:52Z 2013.9268053018773 3928-11 394.42 -75.1017 123.395 -0.5 3233.0 -3233.5 A 362430 L8 2014-01-08T07:43:00 ...
SPF 2013 12 5 6 58 53 2013-12-05T06:58:53Z 2013.9268243594622 3928-12 394.44 -75.1017 123.395 -0.7 3233.0 -3233.7 A 362431 L8 2014-01-08T07:59:00 ...
SPF 2013 12 8 7 9 0 2013-12-08T07:09:00Z 2013.935062785388 3923-01 394.37 -75.1017 123.395 0.45 3233.0 -3232.55 A 362408 L8 2014-01-08T01:50:00 ...
SPF 2013 12 8 7 19 0 2013-12-08T07:19:00Z 2013.9350818112632 3923-02 394.56 -75.1017 123.395 0.1 3233.0 -3232.9 A 362409 L8 2014-01-08T02:06:00 ...
SPF 2013 12 8 7 29 0 2013-12-08T07:29:00Z 2013.9351008371384 3923-03 394.59 -75.1017 123.395 -0.1 3233.0 -3233.1 A 362410 L8 2014-01-08T02:22:00 ...
SPF 2013 12 8 7 39 0 2013-12-08T07:39:00Z 2013.9351198630136 3923-04 394.65 -75.1017 123.395 -0.3 3233.0 -3233.3 A 362411 L8 2014-01-08T02:38:00 ...
SPF 2013 12 8 7 49 0 2013-12-08T07:49:00Z 2013.9351388888888 3923-05 394.81 -75.1017 123.395 -0.5 3233.0 -3233.5 A 362412 L8 2014-01-08T02:54:00 ...
SPF 2013 12 8 7 59 0 2013-12-08T07:59:00Z 2013.935157914764 3923-06 394.6 -75.1017 123.395 0.0 3233.0 -3233.0 A 362413 L8 2014-01-08T03:10:00 ...
SPF 2013 12 8 10 8 59 2013-12-08T10:08:59Z 2013.9354052194317 3923-07 394.48 -75.1017 123.395 0.45 3233.0 -3232.55 A 362414 L8 2014-01-08T03:26:00 ...
