,year,forest_area_%
7850,1990,32.51862542833661
7851,1991,32.458458380452726
7852,1992,32.39829133256884
7853,1993,32.33812428468495
7854,1994,32.277957236801065
7855,1995,32.21779018891718
7856,1996,32.15762314103329
7857,1997,32.097456093149404
7858,1998,32.03728904526552
7859,1999,31.97712199738163
7860,2000,31.916954949497743
7861,2001,31.877245215253048
7862,2002,31.837535404248907
7863,2003,31.797825593244767
7864,2004,31.75811578224062
7865,2005,31.718406047995927
7866,2006,31.678696236991787
7867,2007,31.63898642598765
7868,2008,31.59927669174295
7869,2009,31.55956688073881
7870,2010,31.51985706973467
7871,2011,31.48542047919484
7872,2012,31.450956332013675
7873,2013,31.416492108073054
7874,2014,31.382027960891897
7875,2015,31.347563813710728
7876,2016,31.30928126785715
7877,2017,31.270998798763017
7878,2018,31.23271632966889
7879,2019,31.194433783815317
7880,2020,31.15615131472117
