,year,Predicted
0,1950,39.39759536209749
1,1951,39.09681728578289
2,1952,38.804336932167644
3,1953,38.520022353564855
4,1954,38.24374160193838
5,1955,37.975362729572225
6,1956,37.71475378857576
7,1957,37.46178283111658
8,1958,37.216317909245845
9,1959,36.97822707530577
10,1960,36.747378381260205
11,1961,36.52363987933495
12,1962,36.306879621726694
13,1963,36.09696566054481
14,1964,35.893766047927784
15,1965,35.69714883598499
16,1966,35.506982077029534
17,1967,35.32313382305438
18,1968,35.14547212625621
19,1969,34.973865038802614
20,1970,34.80818061280297
21,1971,34.64828690045397
22,1972,34.494051953952294
23,1973,34.34534382537822
24,1974,34.20203056678292
25,1975,34.06398023056681
26,1976,33.93106086869375
27,1977,33.80314053336042
28,1978,33.680087276676204
29,1979,33.5617691509251
30,1980,33.44805420812918
31,1981,33.338810500485124
32,1982,33.23390608018963
33,1983,33.133208999293856
34,1984,33.036587309936294
35,1985,32.94390906448825
36,1986,32.855042314884486
37,1987,32.76985511329258
38,1988,32.68821551196743
39,1989,32.60999156301841
40,1990,32.51862542833661
41,1991,32.458458380452726
42,1992,32.39829133256884
43,1993,32.33812428468495
44,1994,32.277957236801065
45,1995,32.21779018891718
46,1996,32.15762314103329
47,1997,32.097456093149404
48,1998,32.03728904526552
49,1999,31.97712199738163
50,2000,31.916954949497743
51,2001,31.877245215253048
52,2002,31.837535404248907
53,2003,31.797825593244767
54,2004,31.75811578224062
55,2005,31.718406047995927
56,2006,31.678696236991787
57,2007,31.63898642598765
58,2008,31.59927669174295
59,2009,31.55956688073881
60,2010,31.51985706973467
61,2011,31.48542047919484
62,2012,31.450956332013675
63,2013,31.41649210807305
64,2014,31.382027960891897
65,2015,31.347563813710728
66,2016,31.30928126785715
67,2017,31.270998798763017
68,2018,31.23271632966889
69,2019,31.19443378381532
70,2020,31.15615131472117
