Year,Mo,Dy,Tsu,Eq,Name,Location,Country,Latitude,Longitude,Elevation (m),Type,VEI,Agent,Deaths,Death Description,Missing,Missing Description,Injuries,Injuries Description,Damage ($Mil),Damage Description,Houses Destroyed,Houses Destroyed Description,Total Deaths,Total Death Description,Total Missing,Total Missing Description,Total Injuries,Total Injuries Description,Total Damage ($Mil),Total Damage Description,Total Houses Destroyed,Total Houses Destroyed Description
1950,8,28,,,Semeru,Java,Indonesia,-8108,112922,3657,Stratovolcano,1,P,6,1,,,,,,,,,6,1,,,,,,,,
1950,9,15,,,Camiguin,Mindanao-Philippines,Philippines,9203,124673,1552,Stratovolcano,3,P,68,2,,,,,,,,,68,2,,,,,,,,
1950,9,23,,,Asamayama,Honshu-Japan,Japan,36406,138523,2568,Complex volcano,2,T,1,1,,,1,1,,,,1,1,1,,,1,1,,,,1
1951,1,21,,,Lamington,New Guinea,Papua New Guinea,-8.95,148.15,1680,Stratovolcano,4,P,2942,4,,,,2,,,,,2942,4,,,,2,,,,
1951,8,3,3383,3974,Cosiguina,Nicaragua,Nicaragua,12.98,-87.57,872,Stratovolcano,,,,,,,,,,,,,,,,,,,,3,,2
1951,8,31,,,Kelud,Java,Indonesia,-7935,112314,1730,Stratovolcano,3,,7,1,,,,,,,,,7,1,,,,,,,,
1951,11,5,,,Hakoneyama,Honshu-Japan,Japan,35233,139021,1438,Complex volcano,,G,2,1,,,,,,,,,2,1,,,,,,,,
1951,12,4,,,Camiguin,Mindanao-Philippines,Philippines,9203,124673,1552,Stratovolcano,3,P,500,3,1500,4,,,,,,,500,3,1500,4,,,,,,
1951,,,1816,,Kavachi,Solomon Is-SW Pacifi,Solomon Is.,-8991,157979,-20,Submarine volcano,2,,,,,,,,,,,,,,,,,,,,,
1952,3,27,,,Hakoneyama,Honshu-Japan,Japan,35233,139021,1438,Complex volcano,,G,1,1,,,,,,,,,1,1,,,,,,,,
1952,9,16,1824,,Kita-Bayonnaise,Izu Is-Japan,Japan,32.1,139.85,-360,Submarine volcano,2,,,,,,,,,,,,,,,,,,,,,
1952,9,23,1825,,Kita-Bayonnaise,Izu Is-Japan,Japan,32.1,139.85,-360,Submarine volcano,2,,,,,,,,,,,,,,,,,,,,,
1952,9,24,1826,,Kita-Bayonnaise,Izu Is-Japan,Japan,32.1,139.85,-360,Submarine volcano,2,P,31,1,,,,,,1,,,31,1,,,,,,1,,
1952,9,26,1827,,Kita-Bayonnaise,Izu Is-Japan,Japan,32.1,139.85,-360,Submarine volcano,2,,,,,,,,,,,,,,,,,,,,,
1952,,,,,Ambalatungan Group,Luzon-Philippines,Philippines,17.32,121.1,2329,Compound volcano,1,,12,1,,,,,,,,,12,1,,,,,,,,
1953,3,11,1833,,Kita-Bayonnaise,Izu Is-Japan,Japan,32.1,139.85,-360,Submarine volcano,2,,,,,,,,,,,,,,,,,,,,,
1953,3,23,,,Merapi,Java,Indonesia,-7.54,110446,2910,Stratovolcano,3,P,64,2,,,57,2,,2,144,3,64,2,,,57,2,,2,144,3
1953,3,25,5566,,Kita-Bayonnaise,Izu Is-Japan,Japan,32.1,139.85,-360,Submarine volcano,2,,,,,,,,,,,,,,,,,,,,,
1953,4,27,,,Asosan,Kyushu-Japan,Japan,32884,131104,1592,Caldera,2,T,6,1,,,,,,,,,6,1,,,,,,,,
1953,6,27,1838,,St. Andrew Strait,Admiralty Is-SW Paci,Papua New Guinea,-2.38,147.35,270,Complex volcano,0,,,,,,,,,,,,,,,,,,,1,,
1953,6,,,,Sirung,Lesser Sunda Is,Indonesia,-8508,124.13,862,Complex volcano,0,,5,1,,,1,1,,,,,5,1,,,1,1,,,,
1953,7,26,,,Hakoneyama,Honshu-Japan,Japan,35233,139021,1438,Complex volcano,,A,10,1,,,,,,,,,10,1,,,,,,,,
1953,10,5,,,Izu-Oshima,Izu Is-Japan,Japan,34724,139394,746,Stratovolcano,1,,1,1,,,,,,,,,1,1,,,,,,,,
