,year,Real,Predicted
0,1950,1110000000.0,11005853696.0
1,1951,13210200000.0,11827937280.0
2,1952,13620300000.0,13421772800.0
3,1953,14930700000.0,18102616064.0
4,1954,15031000000.0,27145535488.0
5,1955,26031000000.0,40969961472.0
6,1956,126031000000.0,59139686400.0
7,1957,126331100000.0,81101062144.0
8,1958,126531200000.0,105595797504.0
9,1960,127531200000.0,157823270912.0
10,1961,129631400000.0,183140089856.0
11,1962,130731500000.0,206477197312.0
12,1963,235031500000.0,227029286912.0
13,1964,235241500000.0,244175601664.0
14,1965,245241600000.0,257597374464.0
15,1966,277241600000.0,267177164800.0
16,1967,280241700000.0,273116299264.0
17,1968,282241700000.0,275800653824.0
18,1969,283441800000.0,275968425984.0
19,1970,284441900000.0,274458476544.0
20,1971,286742000000.0,272126443520.0
21,1972,286852100000.0,270264172544.0
22,1973,288952200000.0,269945405440.0
23,1974,302162200000.0,272579428352.0
24,1975,303262300000.0,279239983104.0
25,1976,304562400000.0,291252469760.0
26,1977,306582500000.0,309623521280.0
27,1978,309682600000.0,335175221248.0
28,1979,310992700000.0,368880648192.0
29,1980,411992800000.0,411243118592.0
30,1981,414303000000.0,462480736256.0
31,1982,724303000000.0,522895491072.0
32,1983,735413000000.0,592185393152.0
33,1984,737413300000.0,670082007040.0
34,1985,739423300000.0,755729694720.0
35,1986,741623400000.0,848239263744.0
36,1987,742723500000.0,946402754560.0
37,1988,746723600000.0,1048978653184.0
38,1989,746723800000.0,1154222129152.0
39,1990,760024100000.0,1260421906432.0
40,1991,1860244200000.0,1365933817856.0
41,1992,1872464300000.0,1468727820288.0
42,1993,1872704600000.0,1566941642752.0
43,1994,1877714700000.0,1658981449728.0
44,1995,1879824900000.0,1742968193024.0
45,1996,1883025100000.0,1817542918144.0
46,1997,1886135500000.0,1881363447808.0
47,1998,1886135800000.0,1933775470592.0
48,1999,1899235800000.0,1973956902912.0
49,2000,1901435900000.0,2001991630848.0
50,2001,1902735900000.0,2018030649344.0
51,2002,1915746000000.0,2022912819200.0
52,2003,1916746000000.0,2017778991104.0
53,2004,1926856000000.0,2004541767680.0
54,2005,1937856100000.0,1985247969280.0
55,2006,1940076300000.0,1962296737792.0
56,2007,1950086600000.0,1938657640448.0
57,2008,1952086800000.0,1917300244480.0
58,2009,1952087000000.0,1901059899392.0
59,2010,1955197400000.0,1892553850880.0
60,2011,1986297900000.0,1894147686400.0
61,2012,1986298200000.0,1907032588288.0
62,2013,1987398800000.0,1931560878080.0
63,2014,1988399300000.0,1965970948096.0
64,2015,1988499900000.0,2006789914624.0
65,2016,1988500400000.0,2047088787456.0
66,2017,1988701000000.0,2077052895232.0
67,2018,2001021700000.0,2081951842304.0
68,2019,2021321900000.0,2042072399872.0
69,2020,2031322000000.0,1931292442624.0
