,index,company,body-style,wheel-base,length,engine-type,num-of-cylinders,horsepower,average-mileage,price
0,0,alfa-romero,convertible,0.006153846153845804,0.4134328358208958,dohc,four,0.2625,0.23529411764705882,0.20730949837263038
1,1,alfa-romero,convertible,0.006153846153845804,0.4134328358208958,dohc,four,0.2625,0.23529411764705882,0.28196973837859324
2,2,alfa-romero,hatchback,0.18769230769230752,0.4492537313432835,ohcv,six,0.44166666666666665,0.17647058823529413,0.28196973837859324
3,3,audi,sedan,0.3507692307692305,0.5298507462686567,ohc,four,0.225,0.3235294117647059,0.21861412705905736
4,4,audi,sedan,0.3384615384615385,0.5298507462686567,ohc,five,0.2791666666666667,0.14705882352941177,0.3055728092623419
5,5,audi,sedan,0.3507692307692305,0.5402985074626868,ohc,five,0.25833333333333336,0.17647058823529413,0.25091306616313447
6,6,audi,wagon,0.5353846153846151,0.7701492537313432,ohc,five,0.25833333333333336,0.17647058823529413,0.34209545578772144
7,9,bmw,sedan,0.39384615384615373,0.5328358208955226,ohc,four,0.22083333333333333,0.29411764705882354,0.28023056473452757
8,10,bmw,sedan,0.39384615384615373,0.5328358208955226,ohc,four,0.22083333333333333,0.29411764705882354,0.29252900693184924
9,11,bmw,sedan,0.39384615384615373,0.5328358208955226,ohc,six,0.30416666666666664,0.23529411764705882,0.3930283982210738
10,13,bmw,sedan,0.46461538461538443,0.7149253731343285,ohc,six,0.5583333333333333,0.08823529411764706,0.6362642550125469
11,14,bmw,sedan,0.46461538461538443,0.7865671641791048,ohc,six,0.5583333333333333,0.08823529411764706,0.8985067951998807
12,15,bmw,sedan,0.6646153846153844,0.8343283582089553,ohc,six,0.5583333333333333,0.058823529411764705,0.7883177221794331
13,16,chevrolet,hatchback,0.0,0.0,l,three,0.0,1.0,0.0
14,17,chevrolet,hatchback,0.18769230769230752,0.22089552238805987,ohc,four,0.09166666666666666,0.7352941176470589,0.028423066411587865
15,18,chevrolet,sedan,0.18769230769230752,0.26417910447761217,ohc,four,0.09166666666666666,0.7352941176470589,0.03537976098785063
16,19,dodge,hatchback,0.16307692307692298,0.24179104477611965,ohc,four,0.08333333333333333,0.5294117647058824,0.030460384108921962
17,20,dodge,hatchback,0.16307692307692298,0.24179104477611965,ohc,four,0.08333333333333333,0.5294117647058824,0.026783274118611644
18,27,honda,wagon,0.24923076923076906,0.23880597014925373,ohc,four,0.11666666666666667,0.5,0.05326840418395488
19,28,honda,sedan,0.24923076923076906,0.5119402985074628,ohc,four,0.22083333333333333,0.3235294117647059,0.19364456259782853
20,29,honda,sedan,0.24923076923076906,0.417910447761194,ohc,four,0.21666666666666667,0.35294117647058826,0.1290466843896743
